album,zanr
2612,Plunderphonics
2612,Trip Hop
2612,Turntablism
2614,Indie Rock
2614,Psychedelic Rock
2615,Indie Rock
2615,Midwest Emo
2615,Post-Rock
2632,Indie Rock
2632,Midwest Emo
2632,Post-Hardcore
2634,Art Rock
2634,Indie Rock
2634,Neo-Psychedelia
2642,Avant-Folk
2642,Indie Folk
2642,Lo-Fi / Slacker Rock
2642,Noise Rock
2642,Psychedelic Folk
2642,Singer/Songwriter
2660,Acid Jazz
2660,Dark Jazz
2660,Trip Hop
2661,Acid Jazz
2661,Dark Jazz
2661,Trip Hop
2661,Turntablism
2667,Boom Bap
2667,East Coast Hip Hop
2667,Jazz Rap
2671,Experimental Rock
2671,Math Rock
2671,Post-Hardcore
2671,Post-Rock
2671,Slowcore
2671,Spoken Word
2674,Art Punk
2674,Art Rock
2674,Garage Rock
2674,Piano Rock
2674,Poetry
2674,Proto-Punk
2674,Singer/Songwriter
2679,Art Rock
2679,Chamber Jazz
2679,Jazz-Rock
2679,Post-Rock
2689,Alt-Country
2689,Americana
2689,Art Rock
2689,Indie Rock
2700,Ambient Pop
2700,Dream Pop
2700,Indie Rock
2700,Slowcore
2711,Dream Pop
2711,Neo-Psychedelia
2711,Shoegaze
2711,Space Rock Revival
2771,Thrash Metal
2779,Experimental Rock
2779,Jazz-Rock
2779,Post-Rock
2833,Blues Rock
2833,Hard Rock
2833,Heavy Metal
2833,Progressive Rock
2863,Dance-Pop
2863,Electro-Disco
2863,French House
2863,Funky House
2863,Synth Funk
2959,Art Pop
2959,New Romantic
2959,Progressive Pop
2966,Contemporary R&amp;B
2966,Funk
2966,Hip Hop
2966,Neo-Soul
2966,Psychedelic Soul
2966,Smooth Soul
2980,Blues Rock
2980,Hard Rock
2980,Rock
3115,Lovers Rock
3115,Pop Reggae
3115,Roots Reggae
3118,Rocksteady
3118,Roots Reggae
3120,Chamber Folk
3120,Contemporary Folk
3120,Singer/Songwriter
3122,Chamber Folk
3122,Contemporary Folk
3122,Singer/Songwriter
3136,Art Pop
3136,Art Rock
3136,Baroque Pop
3136,Experimental Rock
3136,Gothic Rock
3136,Progressive Pop
3137,Art Pop
3137,Baroque Pop
3137,Progressive Pop
3137,Synthpop
3287,Contemporary Folk
3287,Singer/Songwriter
3389,Hard Rock
3389,Progressive Rock
3390,Hard Rock
3390,Progressive Rock
3391,Hard Rock
3391,Progressive Rock
3392,Hard Rock
3392,Progressive Rock
3429,Experimental Big Band
3429,Free Jazz
3429,Spiritual Jazz
3434,Hard Bop
3434,Modal Jazz
3434,Post-Bop
3556,Boom Bap
3556,Conscious Hip Hop
3556,Contemporary R&amp;B
3556,East Coast Hip Hop
3556,Neo-Soul
3560,Art Pop
3560,Contemporary R&amp;B
3560,Dance-Pop
3560,Neo-Soul
3560,New Jack Swing
3560,Trip Hop
3572,G-Funk
3572,Gangsta Rap
3572,West Coast Hip Hop
3577,Contemporary R&amp;B
3577,Contemporary R&amp;B
3577,Funk
3577,Funk Rock
3577,Pop Rock
3577,Soul
3577,Synth Funk
3581,Heartland Rock
3581,Piano Rock
3581,Singer/Songwriter
